case_id,category,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix
C022,ACL,A security ACL exists but intended traffic is not being filtered.,Traffic enters R1 through G0/1.,show running-config interface g0/1: no ip access-group command. show access-lists: ACL 110 configured.,ACL is configured but not applied to the intended interface.,Layer 3/4,ACL,High,show running-config interface g0/1,Apply the correct ACL in the required direction.
C023,ACL,Allowed users are still unable to reach the application after an ACL change.,Application is on 192.168.60.10; clients are 192.168.10.0/24.,show running-config interface g0/0: ip access-group 120 out. Traffic from clients enters through G0/0.,ACL direction is incorrect for the intended filtering point.,Layer 3/4,ACL,Medium,show running-config interface g0/0,Apply the ACL in the correct direction/interface and retest.
C024,ACL,One permitted host can reach a server but all other required hosts cannot.,ACL should permit 192.168.10.0/24 to the application server.,show access-lists: permit ip host 192.168.10.10 host 192.168.60.10; implicit deny at end.,Implicit deny blocks the remaining required clients.,Layer 4,ACL,High,show access-lists,Add the required permit rule before the implicit deny.
C025,NAT,Internal users can reach the router but cannot access the external network.,Inside network is 192.168.10.0/24 and ISP is connected to R1.,show ip nat translations: empty. show ip nat statistics: active translations 0.,NAT overload is not translating inside addresses.,Layer 3,NAT,High,show ip nat translations,Configure the required NAT overload/PAT rule.
C026,NAT,NAT ACL is configured but inside addresses are not translated.,R1 has G0/0 as inside and G0/1 toward ISP.,show running-config: ip nat inside source list 1 interface g0/1 overload. show ip interface g0/0: no ip nat inside.,Inside interface is not marked for NAT.,Layer 3,NAT,High,show running-config interface g0/0,Configure ip nat inside on the internal interface.
C027,NAT,Clients cannot access the Internet after a router interface change.,R1 G0/0 connects LAN and G0/1 connects ISP.,show running-config interface g0/1: ip nat inside. show running-config interface g0/0: ip nat inside.,Outside interface is incorrectly marked as inside.,Layer 3,NAT,High,show running-config interface g0/1,Configure the ISP-facing interface as ip nat outside.
C028,NAT,Only some internal clients receive Internet access through NAT.,NAT overload uses ACL 1 to select inside addresses.,show access-lists 1: permit 192.168.10.0 0.0.0.127. Clients also use 192.168.10.128/25.,NAT ACL does not include the second client subnet/range.,Layer 3,NAT,Medium,show access-lists 1,Correct the NAT ACL so all intended inside addresses are translated.
C029,Wireless,Wireless clients receive connectivity but are placed in the wrong network.,SSID Guest should map to guest VLAN 30.,show vlan brief: VLAN 30 GUEST active. show wireless/SSID mapping: Guest -> VLAN 10.,SSID is mapped to the wrong VLAN.,Layer 2,Wireless/VLAN,High,show wireless summary / SSID mapping,Map the Guest SSID to VLAN 30 and verify client addressing.
C030,Wireless,Wireless clients associate with the AP but receive no IP address.,Guest wireless clients should receive addresses from the VLAN 30 DHCP pool.,show wireless client: associated. show ip dhcp pool: VLAN 30 pool has no requests. show interfaces trunk: VLAN 30 not allowed.,Wireless VLAN is not carried across the trunk to the gateway/DHCP network.,Layer 2/3,Wireless/DHCP,High,show interfaces trunk,Allow VLAN 30 on the trunk and verify DHCP.
C031,Wireless,A wireless client repeatedly fails WPA authentication.,SSID is visible and the AP is reachable.,show wireless client: authentication failed. WLAN security: WPA2-PSK configured. Client password differs from configured key.,Client is using an incorrect wireless security key.,Layer 2,Wireless Security,Medium,show wireless client,Use the correct WPA2-PSK and reconnect the client.
C032,Wireless,"Guest Wi-Fi can reach an internal server, creating a security concern.",Guest clients are in VLAN 30; internal server is 192.168.10.20.,show access-lists: no deny/guest-isolation rule for VLAN 30. show vlan brief: VLAN 30 GUEST active.,"Guest isolation/ACL protection is missing, allowing internal access.",Layer 3/4,Wireless/ACL,Critical,show access-lists,Implement guest isolation and deny guest-to-internal traffic while allowing required Internet access.
